City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
655,Cairns,AU,81.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
656,Kandrian,PG,83.52,light rain,-6.2167,149.55,Kandrian Station
660,Pasni,PK,83.32,overcast clouds,25.2631,63.471,Kashmiri Hotal
666,Mana,GF,77.22,overcast clouds,5.6592,-53.7767,Hudace
667,Tigzirt,DZ,76.33,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
669,Dzilam Gonzalez,MX,81.66,overcast clouds,21.2833,-88.9333,Hotel Reef Yucatán
670,Atambua,ID,78.84,overcast clouds,-9.1061,124.8925,Betania Training Centre (BTC)
672,Matay,EG,80.91,clear sky,28.419,30.7792,Nag Aespen
674,Sestri Levante,IT,83.55,clear sky,44.2732,9.3968,Grande Albergo
675,Namatanai,PG,83.64,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
682,Bubaque,GW,78.57,light rain,11.2833,-15.8333,Ponta Anchaca Lodge
