City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Beringovskiy,RU,63.05,179.3167,54.27,67,64,25.03,broken clouds
212,Walvis Bay,NA,-22.9575,14.5053,55.09,89,0,11.23,clear sky
213,Ostrovnoy,RU,68.0531,39.5131,49.86,95,100,11.52,overcast clouds
214,Raglan,NZ,-37.8,174.8833,60.44,91,40,8.3,scattered clouds
215,Pevek,RU,69.7008,170.3133,32.45,97,100,13.73,overcast clouds
216,Ambilobe,MG,-13.2,49.05,65.52,64,0,6.76,clear sky
217,Muisne,EC,0.6,-80.0333,73.62,85,99,10.0,overcast clouds
218,Sile,TR,41.1754,29.6133,71.56,62,2,5.99,clear sky
219,Kuzino,RU,57.0224,59.4412,56.5,93,100,8.63,overcast clouds
220,Yumen,CN,40.2833,97.2,75.69,27,55,15.99,broken clouds
221,Kayerkan,RU,69.3497,87.7602,55.53,66,100,6.13,overcast clouds
222,Tazovskiy,RU,67.4667,78.7,53.19,66,4,16.91,clear sky
223,Oktyabrskoye,RU,43.0645,44.7417,62.74,94,100,6.71,overcast clouds
224,Padang,ID,-0.9492,100.3543,75.25,79,100,1.5,overcast clouds
225,Foam Lake,CA,51.65,-103.5343,68.77,83,44,7.38,scattered clouds
226,Tambacounda,SN,13.7539,-13.7586,80.65,78,75,11.5,broken clouds
227,Coihaique,CL,-45.5752,-72.0662,40.95,87,100,4.61,light rain
228,Mount Gambier,AU,-37.8333,140.7667,51.4,54,0,2.89,clear sky
229,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,88,94,5.48,overcast clouds
230,Lodwar,KE,3.1191,35.5973,78.15,48,100,16.98,overcast clouds
231,Miyoshi,JP,35.0833,137.0667,86.86,63,100,11.12,overcast clouds
232,Shentala,RU,54.45,51.4833,54.79,89,38,7.7,scattered clouds
233,Manzanares,ES,38.9991,-3.3699,73.54,25,0,0.98,clear sky
234,Micheweni,TZ,-4.9667,39.8333,75.16,74,37,16.82,scattered clouds
235,Tasiilaq,GL,65.6145,-37.6368,37.56,88,60,4.0,broken clouds
236,Torbay,CA,47.6666,-52.7314,63.28,95,100,19.57,heavy intensity rain
237,Polkowice,PL,51.5039,16.0726,66.56,55,12,1.86,few clouds
238,Milkovo,RU,54.7167,158.6167,85.73,52,11,1.43,few clouds
239,Arlit,NE,18.7369,7.3853,87.96,36,95,4.43,overcast clouds
240,Tobermory,CA,45.2501,-81.6665,70.7,88,100,18.45,overcast clouds
241,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.76,94,100,6.91,overcast clouds
242,Souillac,MU,-20.5167,57.5167,70.18,68,40,18.41,light rain
243,Qurayyat,SA,31.3318,37.3428,78.98,47,0,16.11,clear sky
244,Dudinka,RU,69.4058,86.1778,56.62,56,41,19.28,scattered clouds
245,Alyangula,AU,-13.8483,136.4192,76.73,60,9,10.76,clear sky
246,Constantine,DZ,36.365,6.6147,72.81,49,0,2.3,clear sky
247,Sampit,ID,-2.5333,112.95,83.16,70,10,4.36,clear sky
248,Amahai,ID,-3.3333,128.9167,82.06,74,59,3.67,broken clouds
249,Cedar City,US,37.6775,-113.0619,92.37,14,0,13.8,clear sky
250,Tiznit,MA,29.5833,-9.5,84.83,31,68,1.88,broken clouds
251,Lyuban,BY,52.7985,28.0048,56.44,96,48,6.8,scattered clouds
252,Mantua,IT,45.1667,10.7833,78.04,66,0,1.01,clear sky
253,Palana,RU,59.1167,159.9667,51.67,87,100,20.45,overcast clouds
254,Lebu,CL,-37.6167,-73.65,48.09,88,5,3.96,clear sky
255,Hithadhoo,MV,-0.6,73.0833,81.77,72,99,6.89,overcast clouds
256,Gizo,SB,-8.103,156.8419,84.13,65,24,2.26,few clouds
257,Fairfax,US,38.8501,-77.3497,82.72,78,20,4.61,few clouds
258,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,57,0,18.41,clear sky
259,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.24,93,100,26.46,overcast clouds
260,Yar-Sale,RU,66.8333,70.8333,61.65,61,97,5.7,overcast clouds
261,Palmer,US,42.1584,-72.3287,81.25,73,40,3.44,scattered clouds
262,Lasa,IT,46.6166,10.7002,72.48,89,66,1.92,broken clouds
263,Zhigalovo,RU,54.8097,105.1578,55.54,97,100,3.18,light rain
264,Sosnovo-Ozerskoye,RU,52.5249,111.5418,73.67,48,54,7.02,broken clouds
265,Komsomolskiy,UZ,40.4272,71.7189,77.72,27,0,9.22,clear sky
266,Egvekinot,RU,66.3167,-179.1667,46.44,63,89,4.5,overcast clouds
267,Bastia,FR,42.6667,9.3333,80.29,64,0,4.61,clear sky
268,Xiazhen,CN,34.8022,117.1117,72.28,96,100,9.33,overcast clouds
269,Hambantota,LK,6.1241,81.1185,77.34,100,40,2.3,moderate rain
270,Port Antonio,JM,18.18,-76.4612,84.11,80,2,9.35,clear sky
271,Nador,MA,35.174,-2.9287,77.79,74,4,2.39,clear sky
272,Eureka,US,40.8021,-124.1637,65.12,79,55,5.01,broken clouds
273,Lorengau,PG,-2.0226,147.2712,83.7,69,100,6.85,overcast clouds
274,Dovbysh,UA,50.3733,27.9874,55.31,94,6,6.04,clear sky
275,Westport,US,41.1415,-73.3579,86.09,73,0,5.75,clear sky
276,Sobolevo,RU,54.4299,31.8996,53.51,96,37,9.01,scattered clouds
277,Umm Kaddadah,SD,13.6017,26.6876,80.42,60,38,14.58,scattered clouds
278,Buchanan,LR,5.8808,-10.0467,74.89,79,100,8.97,overcast clouds
279,Vostok,RU,46.4856,135.8833,70.05,84,96,1.86,overcast clouds
280,Marrakesh,MA,31.6315,-8.0083,86.07,39,40,1.14,scattered clouds
281,Huadian,CN,42.9633,126.7478,75.92,81,97,1.63,overcast clouds
282,Japura,ID,-0.3167,102.35,79.63,89,100,3.11,overcast clouds
283,Iqaluit,CA,63.7506,-68.5145,40.73,93,100,3.44,light rain
284,Ponta Do Sol,PT,32.6667,-17.1,70.43,80,21,7.09,few clouds
285,Harper,LR,4.375,-7.7169,73.67,72,98,7.23,overcast clouds
286,Pochutla,MX,15.7432,-96.4661,85.82,89,35,3.18,scattered clouds
287,Port Hardy,CA,50.6996,-127.4199,60.98,77,20,13.8,few clouds
288,Porto Novo,BJ,6.4965,2.6036,72.5,82,25,5.77,scattered clouds
289,Wad Madani,SD,14.4012,33.5199,80.01,63,90,17.11,overcast clouds
290,Denpasar,ID,-8.65,115.2167,79.47,70,87,9.82,overcast clouds
291,Oistins,BB,13.0667,-59.5333,80.69,89,40,12.66,scattered clouds
292,Totolapa,MX,18.5167,-96.1833,78.24,88,99,4.25,overcast clouds
293,Siva,EG,29.2041,25.5195,77.61,54,0,6.38,clear sky
294,Sinamar,PH,16.9,121.5667,85.86,71,51,3.13,broken clouds
295,Zhenlai,CN,45.8495,123.2973,82.04,58,61,1.54,broken clouds
296,Timbiqui,CO,2.7717,-77.6654,75.67,94,100,6.08,light rain
297,Nayoro,JP,44.3506,142.4578,74.88,63,100,6.6,overcast clouds
298,Takab,IR,36.4009,47.1133,71.01,29,0,8.34,clear sky
299,Sinnamary,GF,5.3833,-52.95,77.02,85,51,9.1,broken clouds
300,Saquena,PE,-4.6667,-73.5167,72.9,93,68,1.97,broken clouds
301,Lebowakgomo,ZA,-24.2,29.5,49.1,69,96,3.62,overcast clouds
302,San Patricio,US,28.017,-97.5169,88.54,73,0,18.63,clear sky
303,Ust-Tsilma,RU,65.441,52.1498,68.23,57,44,8.48,scattered clouds
304,Sarh,TD,9.1429,18.3923,70.52,98,100,1.52,light rain
305,Tiksi,RU,71.6872,128.8694,34.92,96,100,14.43,overcast clouds
306,Abu Samrah,SY,35.3029,37.1841,75.85,55,0,6.31,clear sky
307,Dingzhou,CN,38.5131,114.9956,80.71,46,6,8.43,clear sky
308,Roald,NO,62.5833,6.1333,72.16,72,75,16.11,broken clouds
309,Asilah,MA,35.465,-6.0348,69.76,78,0,5.57,clear sky
310,Cam Ranh,VN,11.9214,109.1591,80.56,78,75,3.44,broken clouds
311,Boulder City,US,35.9786,-114.8325,108.25,13,15,15.66,few clouds
312,Tulare,US,36.2666,-118.8009,96.71,17,0,1.99,clear sky
313,Aklavik,CA,68.2191,-135.0107,66.69,52,100,10.25,overcast clouds
314,Marienburg,PL,54.0359,19.0266,62.11,80,7,1.7,clear sky
315,Adrar,MR,20.5022,-10.0711,91.81,8,5,9.08,clear sky
316,Bulungu,CD,-4.55,18.6,70.81,77,2,0.45,clear sky
317,Saint Anthony,US,45.0205,-93.218,82.92,42,0,5.01,clear sky
318,Papara,BR,-3.9839,-38.7273,77.4,92,16,3.24,few clouds
319,Quito,EC,-0.2299,-78.5249,49.15,74,95,5.03,overcast clouds
320,Puro,PH,12.4841,123.3827,86.49,68,9,7.09,clear sky
321,Kiama,AU,-34.6833,150.8667,56.37,91,78,7.0,light rain
322,Hirara,JP,24.8,125.2833,89.46,74,40,18.41,scattered clouds
323,Talcahuano,CL,-36.7167,-73.1167,46.08,93,0,0.0,mist
324,Guerrero Negro,MX,27.9769,-114.0611,73.0,68,5,14.72,clear sky
325,Road Town,VG,18.4167,-64.6167,82.44,83,40,11.5,scattered clouds
326,Rocha,UY,-34.4833,-54.3333,41.74,92,2,6.22,clear sky
